ASIN,star_rating,ratings,featureBullets,Overview
0143421360,False,False,True,True
0143062220,False,False,True,True
1784708283,False,False,True,True
0143459732,False,False,True,True
0143460382,False,False,True,True
0143459686,False,False,True,True
8184958366,False,False,True,True
B0C98WD4XQ,False,False,True,True
0143333623,False,False,True,True
0143451847,False,False,True,True
0143450263,False,False,True,True
9353765064,False,False,True,True
9353767520,True,True,True,True
9391129811,False,False,True,True
9389178118,False,False,True,True
9390292964,False,False,True,True
1529046130,False,False,True,True
075550383X,False,False,True,True
9358566035,False,False,True,True
1529080401,False,False,True,True
9388243064,False,False,True,True
9391924824,False,False,True,True
9390292921,False,False,True,True
8119898702,False,False,True,True
8187107537,False,False,True,True
9353767555,True,True,True,True
935376758X,False,False,True,True
8197104832,False,False,True,True
8119099397,False,False,True,True
8131944700,False,False,True,True
9354403697,False,False,True,True
9394668667,False,False,True,True
9389567831,False,False,True,True
0008333785,False,False,True,True
9395976209,False,False,True,True
9388369882,False,False,True,True
9356270627,False,False,True,True
9386538997,False,False,True,True
9389432006,False,False,True,True
2020072769,False,False,True,True
9354402569,False,False,True,True
938993155X,False,False,True,True
0143459481,False,False,True,True
0143458000,False,False,True,True
014346180X,False,False,True,True
819601094X,False,False,True,True
8196010923,True,True,True,True
9354400507,False,False,True,True
9354404286,False,False,True,True
9391258492,False,False,True,True
0143451936,False,False,True,True
8129118920,False,False,True,True
8131932494,False,False,True,True
938956784X,False,False,True,True
935376498X,False,False,True,True
9386041073,False,False,True,True
8196149921,False,False,True,True
9390292948,False,False,True,True
9389931495,False,False,True,True
9391129307,False,False,True,True
935376517X,False,False,True,True
9394668160,False,False,True,True
8119099001,False,False,True,True
8131966151,False,False,True,True
935440068X,False,False,True,True
9389717027,False,False,True,True
1035008637,False,False,True,True
9354409768,False,False,True,True
9359803715,False,False,True,True
8194790891,False,False,True,True
9389432014,False,False,True,True
0007272618,False,False,True,True
0143452207,False,False,True,True
1785122185,False,False,True,True
9354402828,False,False,True,True
0349413681,False,False,True,True
0143465066,False,False,True,True
0718188861,False,False,True,True
8194790832,False,False,True,True
9354409075,False,False,True,True
8196373597,False,False,True,True
B0BLBTXSTG,False,False,True,True
8195895085,False,False,True,True
9388369742,False,False,True,True
9390924634,False,False,True,True
0143469126,False,False,True,True
0143464337,False,False,True,True
0063417944,False,False,True,True
9353769698,False,False,True,True
1250270960,False,False,True,True
935333845X,False,False,True,True
9395192933,False,False,True,True
9395192100,False,False,True,True
9355200552,False,False,True,True
8131928039,False,False,True,True
9386832836,False,False,True,True
0804855862,False,False,True,True
9395701463,False,False,True,True
9356293252,False,False,True,True
935629318X,False,False,True,True
9356995524,False,False,True,True
9354401651,False,False,True,True
8179928268,False,False,True,True
1780332009,False,False,True,True
0241539595,False,False,True,True
9391242200,False,False,True,True
0143442287,False,False,True,True
0141988517,False,False,True,True
812913988X,False,False,True,True
8119750160,False,False,True,True
9390441927,False,False,True,True
B07X1347M6,False,False,True,True
8119792785,False,False,True,True
9390441021,False,False,True,True
9389432642,False,False,True,True
9354407234,False,False,True,True
8129144905,False,False,True,True
1648480934,False,False,True,True
8183286119,False,False,True,True
0143442295,False,False,True,True
8190565583,False,False,True,True
1035005204,False,False,True,True
B0DCFSQFHB,False,False,True,True
1913357708,False,False,True,True
B0CR3W226T,False,False,True,True
0670099511,False,False,True,True
9355435061,False,False,True,True
9386867109,False,False,True,True
9353335205,False,False,True,True
9362141620,False,False,True,True
144475954X,False,False,True,True
B0CPT2QLTY,False,False,True,True
9362144123,False,False,True,True
9390851610,False,False,True,True
9394836640,False,False,True,True
9388599012,False,False,True,True
1435439732,False,False,True,True
B082G2JPDF,False,False,True,True
9381957479,False,False,True,True
B09NJ512Z7,False,False,True,True
1133316476,False,False,True,True
B0BL1X1WG7,False,False,True,True
9381957428,False,False,True,True
3110203677,False,False,True,True
1133309739,False,False,True,True
8174505822,False,False,True,True
B082G2SF48,False,False,True,True
9388696433,False,False,True,True
9390612454,False,False,True,True
8194864550,False,False,True,True
B082FZPCZZ,False,False,True,True
9394836179,False,False,True,True
B082G2MTNP,False,False,True,True
9390928265,False,False,True,True
9394836039,False,False,True,True
B09KY3G5GK,False,False,True,True
B082G29CDS,False,False,True,True
B082G28CMT,False,False,True,True
B082G1JZRY,False,False,True,True
0804856540,False,False,True,True
B09NJV9QGM,False,False,True,True
B082FZP3K4,False,False,True,True
9362259990,True,True,True,True
9355649797,False,False,True,True
9362251337,True,True,True,True
1285852176,False,False,True,True
B082FYRXN8,False,False,True,True
B0BNQF7XXV,False,False,True,True
B082FYWTDL,False,False,True,True
B082G1ZY9G,False,False,True,True
9392530684,False,False,True,True
B082FZSDGG,False,False,True,True
0495913782,False,False,True,True
0804851387,False,False,True,True
B09SZS3V28,False,False,True,True
B09T1BV6RG,False,False,True,True
9357787682,False,False,True,True
9362251507,False,False,True,True
9362253682,False,False,True,True
936225736X,False,False,True,True
B0CWP81CDS,False,False,True,True
9390928796,False,False,True,True
B09NK6QRDH,False,False,True,True
1164054198,False,False,True,True
B082G1ZY9H,False,False,True,True
9394836977,False,False,True,True
B0BLGHTTKF,False,False,True,True
B082FZK3Z3,False,False,True,True
B082FYD1W6,False,False,True,True
B082FZZFD9,False,False,True,True
B082FZ26BZ,False,False,True,True
9357787607,False,False,True,True
B0BL38X1B5,False,False,True,True
9356226946,False,False,True,True
0670090220,False,False,True,True
0143463209,False,False,True,True
0670096008,False,False,True,True
0063399350,False,False,True,True
0670094749,False,False,True,True
9355211740,False,False,True,True
9355214804,False,False,True,True
9355211295,False,False,True,True
9389432472,False,False,True,True
939519250X,False,False,True,True
1015418902,False,False,True,True
9388369041,False,False,True,True
9388304322,False,False,True,True
9353456444,False,False,True,True
939044117X,False,False,True,True
B09M8SPXM5,False,False,True,True
B0D54NBN2X,True,True,True,True
9363956407,False,False,True,True
9354899757,False,False,True,True
0143457942,False,False,True,True
9350483408,False,False,True,True
9355216831,False,False,True,True
9355218028,False,False,True,True
9388810368,False,False,True,True
8185301417,False,False,True,True
9355627629,False,False,True,True
9359801852,False,False,True,True
9354401473,False,False,True,True
9389717108,False,False,True,True
8194899141,False,False,True,True
9354400639,False,False,True,True
8172343116,False,False,True,True
9395192666,False,False,True,True
9385077929,False,False,True,True
9356994498,True,True,True,True
9352764560,False,False,True,True
0143457799,False,False,True,True
B0BMQCQKCH,False,False,True,True
935489741X,False,False,True,True
8175993286,False,False,True,True
9350483386,False,False,True,True
9350293471,False,False,True,True
0670096075,False,False,True,True
9354407277,False,False,True,True
9356291713,False,False,True,True
9389432952,False,False,True,True
9358562145,False,False,True,True
8172345364,False,False,True,True
B09Y24ZMKL,False,False,True,True
9354886612,False,False,True,True
9350485710,False,False,True,True
8119153952,False,False,True,True
8131938352,False,False,True,True
0367330539,False,False,True,True
8195863221,False,False,True,True
B0CV7JJ2RX,True,True,False,False
B0C27TG5B6,True,True,True,True
0143451375,False,False,True,True
0750604905,False,False,True,True
8179918467,False,False,True,True
9357022317,False,False,True,True
0716020785,False,False,True,True
9394407065,False,False,True,True
0316334251,False,False,True,True
0316541095,False,False,True,True
935357840X,False,False,True,True
8193704967,False,False,True,True
9386021609,False,False,True,True
9356997780,False,False,True,True
9353577063,False,False,True,True
0415978181,False,False,True,True
811944535X,True,True,True,True
9395624353,False,False,True,True
8129123908,False,False,True,True
